id,MF_percent,group
platypus,22.2,Monotremes
tdevil,NA,Marsupials
wombat,22,Marsupials
oposs,17,Marsupials
mouse,27,Rodents
rat,8.8,Rodents
marmot,NA,Rodents
armadil,NA,Xenarthrans
frtbat,NA,Chiropterans
cat,10.8,Carnivores
dog,9.5,Carnivores
redfox,5.8,Carnivores
arcfox,13.5,Carnivores
stoat,NA,Carnivores
sable,NA,Carnivores
otter,23,Carnivores
panda,10.4,Carnivores
grizzly,17.1,Carnivores
polbear,27.2,Carnivores
walrus,24.1,Pinnipeds
calisl,31.7,Pinnipeds
steller,24,Pinnipeds
nfursl,50.7,Pinnipeds
bearded,49.5,Pinnipeds
hooded,61.6,Pinnipeds
caspian,47.8,Pinnipeds
grey,59.8,Pinnipeds
largha,NA,Pinnipeds
harbour,49.9,Pinnipeds
medmonk,NA,Pinnipeds
hmonk,NA,Pinnipeds
weddell,54.1,Pinnipeds
leopseal,NA,Pinnipeds
nes,51.9,Pinnipeds
ses,46.9,Pinnipeds
ele,5,Afrotherians
human,3.53,Primates
orangu,2.2,Primates
blue,40.9,Cetaceans
minke,22.2,Cetaceans
beluga,26.9,Cetaceans
dolph,29.4,Cetaceans
porpoise,NA,Cetaceans
reindeer,10.9,Artiodactyls
cow,2.9,Artiodactyls
bighorn,12,Artiodactyls
sheep,7.1,Artiodactyls
goldmole,NA,Chrysochlorids